703710,"SITKA JAPONSKI AP",AK,-9.0,57.050,-135.367,4
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2004,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,1,B,8,2.8,A,7,-3.3,A,7,62,A,7,1009,A,7,0,A,7,0.0,A,7,16000,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1.7,A,7,-4.4,A,7,61,A,7,1010,A,7,120,A,7,3.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.7,A,7,-4.4,A,7,61,A,7,1010,A,7,80,A,7,2.1,A,7,16000,B,7,2743,A,7,0.8,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1.1,A,7,-4.4,A,7,64,A,7,1011,A,7,110,A,7,3.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1.7,A,7,-3.9,A,7,64,A,7,1011,A,7,100,A,7,1.5,A,7,16000,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,2,A,7,0.0,A,7,-3.3,A,7,76,A,7,1011,A,7,70,A,7,1.5,A,7,16000,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,0.0,A,7,-5.6,A,7,62,A,7,1012,A,7,100,A,7,2.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,2,A,7,0.6,A,7,-7.2,A,7,52,A,7,1012,A,7,130,A,7,1.5,A,7,16000,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,09:00,5,413,0,2,14,0,2,35,0,2,14,0,2,14,0,2,35,0,2,14,0,2,40,0,E,9,0,A,7,0.0,A,7,-7.8,A,7,52,A,7,1013,A,7,60,A,7,2.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,10:00,92,1415,34,2,14,290,2,35,15,2,14,35,2,14,156,2,35,24,2,14,29,2,40,0,E,9,0,A,7,0.6,A,7,-7.8,A,7,49,A,7,1013,A,7,90,A,7,2.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
01/01/2004,11:00,185,1415,103,2,14,519,2,35,34,2,14,102,2,14,350,2,35,55,2,14,57,2,40,0,E,9,0,A,7,1.1,A,7,-7.8,A,7,48,A,7,1013,A,7,90,A,7,3.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.370,F,8,0,1,D,9,00,C,8
