725029,"OXFORD (AWOS)",CT,-5.0,41.483,-73.133,222
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-3.0,A,7,-6.0,A,7,77,A,7,987,E,9,330,A,7,1.5,A,7,16100,B,7,840,A,7,1.0,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4.0,A,7,-6.0,A,7,84,A,7,987,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.0,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-6.0,A,7,92,A,7,987,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.0,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.0,A,7,-8.0,A,7,84,A,7,987,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.0,A,7,-7.0,A,7,100,A,7,987,E,9,0,A,7,0.0,A,7,12900,B,7,77777,A,7,0.9,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-6.0,A,7,-6.0,A,7,100,A,7,987,E,9,220,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.0,A,7,-7.0,A,7,100,A,7,987,E,9,0,A,7,0.0,A,7,1600,B,7,30,A,7,0.9,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,08:00,45,931,2,2,9,0,2,21,2,2,9,3,2,9,0,2,21,3,2,9,8,2,25,0,E,9,0,E,9,-7.0,A,7,-7.0,A,7,100,A,7,987,E,9,0,A,7,0.0,A,7,6400,B,7,77777,A,7,0.8,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,09:00,242,1415,61,2,9,0,2,21,61,2,9,68,2,9,0,2,21,68,2,9,205,2,25,5,E,9,4,E,9,-3.0,A,7,-3.0,A,7,100,A,7,987,E,9,200,A,7,1.5,A,7,11300,B,7,77777,A,7,0.8,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/2000,10:00,417,1415,125,2,9,13,2,21,121,2,9,139,2,9,8,2,21,136,2,9,419,2,25,10,E,9,10,E,9,-2.0,A,7,-2.0,A,7,100,A,7,987,E,9,220,A,7,2.6,A,7,1600,B,7,60,A,7,0.8,E,8,0.088,F,8,0.160,F,8,0,1,D,9,00,C,8
