724116,"PULASKI",VA,-5.0,37.133,-80.683,642
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,8.0,A,7,7.0,A,7,93,A,7,939,E,9,230,A,7,3.1,A,7,16100,B,7,2700,A,7,1.8,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8.0,A,7,6.0,A,7,87,A,7,939,E,9,230,A,7,4.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9.0,A,7,7.0,A,7,87,A,7,939,E,9,230,A,7,2.6,A,7,16100,B,7,1020,A,7,1.9,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8.0,A,7,6.0,A,7,87,A,7,939,E,9,220,A,7,3.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,7.0,A,7,6.0,A,7,93,A,7,939,E,9,220,A,7,3.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,7.0,A,7,4.0,A,7,81,A,7,939,E,9,210,A,7,3.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8.0,A,7,7.0,A,7,93,A,7,939,E,9,0,A,7,0.0,A,7,16100,B,7,780,A,7,1.8,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,15,507,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,A,7,9.0,A,7,8.0,A,7,93,A,7,939,E,9,260,A,7,3.1,A,7,16100,B,7,840,A,7,1.8,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,09:00,201,1415,31,2,9,0,2,21,31,2,9,36,2,9,0,2,21,36,2,9,116,2,25,10,E,9,10,A,7,13.0,A,7,9.0,A,7,77,A,7,939,E,9,250,A,7,4.1,A,7,16100,B,7,960,A,7,1.9,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,412,1415,259,2,9,406,2,21,140,2,9,269,2,9,361,2,21,163,2,9,294,2,25,5,E,9,5,A,7,13.0,A,7,9.0,A,7,77,A,7,939,E,9,240,A,7,2.1,A,7,16100,B,7,77777,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,11:00,573,1415,157,2,9,12,2,21,152,2,9,178,2,9,9,2,21,174,2,9,583,2,25,10,E,9,9,A,7,15.0,A,7,9.0,A,7,67,A,7,939,E,9,280,A,7,4.6,A,7,16100,B,7,2400,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
