725180,"ALBANY COUNTY AP",NY,-5.0,42.750,-73.800,84
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1985,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0.6,A,7,-2.2,A,7,82,A,7,1017,A,7,10,A,7,4.6,A,7,12900,B,7,790,A,7,1.1,E,8,0.000,F,8,0.00,?,0,0,1,D,9,79,C,8
01/01/1985,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0.0,A,7,-1.7,A,7,89,A,7,1016,A,7,10,A,7,4.6,A,7,12900,B,7,790,A,7,1.2,E,8,0.000,F,8,0.00,?,0,0,1,D,9,79,C,8
01/01/1985,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-1.7,A,7,92,A,7,1016,A,7,10,A,7,4.1,A,7,9700,B,7,790,A,7,1.2,E,8,0.000,F,8,0.00,?,0,0,1,D,9,79,C,8
01/01/1985,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-2.2,A,7,92,A,7,1015,A,7,10,A,7,5.2,A,7,6400,B,7,210,A,7,1.3,E,8,0.000,F,8,0.00,?,0,0,1,D,9,66,C,8
01/01/1985,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.2,A,7,-2.8,A,7,96,A,7,1015,A,7,10,A,7,5.2,A,7,2400,B,7,180,A,7,1.4,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.2,A,7,-2.8,A,7,96,A,7,1014,A,7,50,A,7,6.2,A,7,3600,B,7,120,A,7,1.4,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.8,A,7,-3.3,A,7,96,A,7,1014,A,7,10,A,7,5.2,A,7,3600,B,7,120,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,08:00,30,766,8,1,13,1,1,9,8,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,-3.3,A,7,-3.9,A,7,96,A,7,1014,A,7,30,A,7,2.6,A,7,1600,B,7,150,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,09:00,212,1415,32,1,13,4,1,9,31,1,13,37,1,13,0,1,9,37,1,13,118,1,21,10,A,7,10,A,7,-3.3,A,7,-3.3,A,7,100,A,7,1013,A,7,360,A,7,2.6,A,7,1600,B,7,150,A,7,1.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,10:00,386,1415,59,1,9,4,1,9,58,1,13,69,1,9,2,1,9,69,1,13,236,1,18,10,A,7,10,A,7,-2.8,A,7,-2.8,A,7,100,A,7,1012,A,7,80,A,7,2.6,A,7,1600,B,7,150,A,7,1.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,11:00,509,1415,98,1,9,5,1,9,97,1,13,114,1,9,3,1,9,113,1,13,396,1,18,10,A,7,10,A,7,-2.2,A,7,-2.2,A,7,100,A,7,1012,A,7,330,A,7,2.6,A,7,1600,B,7,150,A,7,1.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,12:00,572,1415,134,1,9,5,1,9,132,1,13,153,1,9,4,1,9,152,1,13,528,1,18,10,A,7,10,A,7,-1.1,A,7,-1.1,A,7,100,A,7,1009,A,7,150,A,7,5.2,A,7,1200,B,7,120,A,7,1.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,13:00,571,1415,118,1,9,6,1,9,115,1,13,136,1,9,4,1,9,134,1,13,476,1,18,10,A,7,10,A,7,1.1,A,7,1.1,A,7,100,A,7,1009,A,7,190,A,7,4.6,A,7,1600,B,7,120,A,7,1.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,14:00,506,1415,90,1,9,3,1,9,89,1,13,105,1,9,2,1,9,104,1,13,369,1,18,10,A,7,10,A,7,2.2,A,7,2.2,A,7,100,A,7,1007,A,7,150,A,7,6.7,A,7,3600,B,7,150,A,7,1.8,E,8,0.000,F,8,0.00,?,0,33,1,D,9,45,C,8
01/01/1985,15:00,381,1415,69,1,9,2,1,9,69,1,13,80,1,9,1,1,9,80,1,13,270,1,18,10,A,7,10,A,7,3.3,A,7,3.3,A,7,100,A,7,1006,A,7,150,A,7,7.2,A,7,3600,B,7,150,A,7,1.8,E,8,0.000,F,8,0.00,?,0,10,1,D,9,45,C,8
01/01/1985,16:00,206,1415,39,1,13,1,1,9,39,1,13,45,1,13,0,1,9,44,1,13,140,1,21,10,A,7,10,A,7,4.4,A,7,3.9,A,7,96,A,7,1005,A,7,150,A,7,6.7,A,7,3600,B,7,120,A,7,1.9,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,17:00,26,719,12,1,13,0,1,9,12,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,5.0,A,7,4.4,A,7,96,A,7,1004,A,7,150,A,7,6.7,A,7,16100,B,7,150,A,7,1.9,E,8,0.000,F,8,0.00,?,0,3,1,D,9,45,C,8
01/01/1985,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5.6,A,7,5.0,A,7,96,A,7,1004,A,7,160,A,7,6.2,A,7,16100,B,7,180,A,7,2.0,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1985,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.7,A,7,5.6,A,7,93,A,7,1004,A,7,180,A,7,6.2,A,7,16100,B,7,210,A,7,2.0,E,8,0.000,F,8,0.00,?,0,0,1,D,9,80,C,8
01/01/1985,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,8.3,A,7,7.2,A,7,93,A,7,1004,A,7,160,A,7,7.7,A,7,11300,B,7,150,A,7,2.1,E,8,0.000,F,8,0.00,?,0,0,1,D,9,25,C,8
01/01/1985,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,9.4,A,7,7.8,A,7,90,A,7,1004,A,7,160,A,7,10.3,A,7,11300,B,7,150,A,7,2.1,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1985,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10.0,A,7,8.9,A,7,93,A,7,1004,A,7,160,A,7,8.8,A,7,11300,B,7,150,A,7,2.2,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1985,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10.6,A,7,7.2,A,7,80,A,7,1004,A,7,170,A,7,8.2,A,7,11300,B,7,180,A,7,2.2,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
