# file...... OverheadLosses.csv
# date...... Mon Jun  6 12:21:00 2016
# user...... samsung
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+230.556,+400.362,+46.8607,+312.222,+245.135,+362.721
2014-07-30 01:00:00 PDT,+360.852,+678.815,+33.2818,+30.4636,+351.953,+363.093
2014-07-30 02:00:00 PDT,+32.4052,+77.5276,+4.51289,+0.396287,+99.7432,+133.467
2014-07-30 03:00:00 PDT,+33.1533,+83.7364,+4.61908,+0.689592,+59.5749,+69.8569
2014-07-30 04:00:00 PDT,+31.7454,+70.0291,+4.10282,+5.45031,+42.8939,+49.5086
2014-07-30 05:00:00 PDT,+22.8714,+55.3428,+3.4668,+2.01921,+47.8908,+60.3983
2014-07-30 06:00:00 PDT,+92.3086,+204.088,+12.1051,+10.6456,+143.489,+176.298
2014-07-30 07:00:00 PDT,+233.477,+477.952,+44.9025,+20.123,+673.228,+878.916
2014-07-30 08:00:00 PDT,+338.479,+815.124,+40.0525,+4.93622,+563.109,+631.891
2014-07-30 09:00:00 PDT,+121.813,+339.873,+24.9933,+10.281,+420.366,+572.415
2014-07-30 10:00:00 PDT,+511.005,+1087.94,+66.117,+92.9339,+1160.04,+1516.12
2014-07-30 11:00:00 PDT,+291.507,+673.684,+37.3926,+3.44039,+495.562,+595.074
2014-07-30 12:00:00 PDT,+1197.16,+2265.94,+113.609,+214.782,+1537.29,+1790.48
2014-07-30 13:00:00 PDT,+324.103,+746.685,+28.819,+0.476864,+869.774,+1115.35
2014-07-30 14:00:00 PDT,+1169.85,+2367.48,+118.5,+167.459,+1605.33,+1830.19
2014-07-30 15:00:00 PDT,+460.853,+966.921,+38.9819,-8.72662,+1467.38,+1998.61
2014-07-30 16:00:00 PDT,+1395.16,+2992.65,+141.231,+140.758,+2314.52,+2772.85
2014-07-30 17:00:00 PDT,+1145.97,+2499.19,+128.758,+45.6268,+1574.75,+1694.08
2014-07-30 18:00:00 PDT,+766.921,+2118.49,+91.1061,-22.9707,+1941.72,+2340.22
2014-07-30 19:00:00 PDT,+654.674,+1310.89,+77.0689,+127.757,+910.381,+1058.4
2014-07-30 20:00:00 PDT,+717.315,+1752.97,+74.3946,+11.7183,+1428.8,+1691.37
2014-07-30 21:00:00 PDT,+560.259,+1114.79,+65.5094,+129.983,+885.66,+1121.03
2014-07-30 22:00:00 PDT,+325.332,+759.876,+62.4297,+34.8483,+656.521,+846.242
2014-07-30 23:00:00 PDT,+419.555,+1009.01,+58.091,+16.2733,+660.582,+711.895
2014-07-31 00:00:00 PDT,+369.469,+701.849,+28.1634,+56.6037,+542.174,+669.908
2014-07-31 01:00:00 PDT,+89.4123,+216.981,+27.9129,+12.3516,+341.264,+496.636
2014-07-31 02:00:00 PDT,+151.044,+359.653,+19.0514,+3.41713,+212.743,+231.711
2014-07-31 03:00:00 PDT,+440.757,+824.013,+53.792,+38.56,+356.169,+346.211
2014-07-31 04:00:00 PDT,+109.863,+260.598,+12.3837,+6.46304,+307.48,+392.472
2014-07-31 05:00:00 PDT,+69.2069,+141.454,+12.4793,+9.48863,+137.451,+188.462
