s701a,s702a,s703a,s701a_pv,s702a_pv,s703a_pv
153.498095229393,123.820921225318,397.393281310487,104.847032637996,106.329673990114,298.19127815929
153.888862201254,123.437081044662,398.155537664344,104.98678742669,106.421619853144,298.167761235547
154.296907413763,123.628315774933,397.345749476394,105.275851061095,106.690002915342,298.142773731167
154.583608702363,123.880349529842,396.446686611059,105.321019179451,107.17596466084,298.003835808949
154.517872304059,123.923076311106,395.42758330446,105.293187804618,107.562748869653,298.139762998201
154.470949869072,123.969137278777,395.112553029342,105.161724764141,107.840574322107,298.427583265806
154.437665410737,124.243450184635,394.953939847103,104.86899359768,108.048653806901,298.558521936666
154.806742072732,124.30861198977,395.077539538784,104.712051815952,108.249611110137,298.726812226652
154.981570429694,124.216656015759,395.51661033648,104.556848035524,108.518866443244,298.786649935864
155.116611350622,124.098557834601,393.998847638725,104.153863020984,108.691256177013,298.676080580415
155.070516710688,124.118464014109,392.41249407005,103.661761526943,108.906024261389,298.851750850233
154.718576316078,124.417487254714,391.099739357667,103.088919091819,108.982603510338,298.887851809187
154.3274324135,124.589880285868,390.706639808141,102.464950462234,109.084703853547,298.824581588282
154.244278192997,124.690424067254,392.096032120007,101.789884402132,109.027325140323,298.524421278042
154.175153278115,124.678925356996,392.972635855416,101.131716034761,109.275831112965,298.125217565471
154.218529803241,124.869055834575,394.936306509275,100.404567011667,109.546035437256,297.628684275591
154.0149133091,125.439576371485,396.276775462894,99.721604010672,109.672476616524,297.351312095496
153.966044422016,125.695341489683,395.153594042343,99.0819023445857,109.793980943337,297.326297430424
154.50502672301,125.188965358549,395.214568572149,98.5472849218642,109.946434613749,297.086676956129
154.277472428351,125.098716212716,395.255991575389,98.1104247206658,109.96284300031,296.675249950573
154.447398040361,125.283275573718,394.45884186625,97.8429662192214,110.107063193212,296.131773464579
154.789269787139,125.216971126921,393.107770117062,97.7050110835679,110.318525639539,295.253358048991
155.069886796828,125.032459872024,393.782501966758,97.6764061382543,110.512350921608,294.753138484225
155.027838508437,125.183895309181,393.700046769453,97.7463438064429,110.656613830693,294.595851483373
154.801845196723,125.020716671887,393.983666947983,97.8089411367343,110.806923639493,294.320222111013
155.198151377849,125.140606494567,394.313222732286,98.1027860927215,110.899182525672,293.867738679164
155.418206373543,125.231951937843,394.772367353101,98.5818892125326,111.062423278136,293.498876186148
155.773335146682,125.263361388452,394.297100370133,99.0207926361305,111.345649172041,292.983368710905
156.382703265741,125.274991343832,392.148362761224,99.4011052507262,111.545351984274,292.796873638878
156.476064753638,125.338521362682,391.694704367933,99.8449857442806,111.647579935584,293.433125771965
156.901480304401,125.595879244899,392.942245072301,100.29093977754,111.730433755875,293.308544982368
157.009344318737,125.690216848383,392.859611384819,100.734724149337,111.756348620257,293.399814740129
156.738060568865,125.597711604857,392.46308345558,101.24755694226,111.904371001855,293.558330915545
156.527895908942,125.656537233621,391.963146196703,101.578421127478,111.97897597113,293.615099771619
156.526776005645,125.591976672352,391.802100892591,101.807921275635,112.027275272938,294.146899381859
156.630259982127,125.883954605127,392.164011038796,101.937016375867,112.040182074475,294.685587623147
156.473539890742,126.081420729843,392.020694489739,101.827433526409,112.065681268584,295.302488212856
155.560511984481,125.796547406595,391.259006366296,101.734587350623,111.992267027488,295.777487376668
155.133507092078,125.814348301138,392.054909128415,101.683345753207,111.990238328563,296.162827873202
155.270627058264,125.858084134396,392.46465802615,101.488142748907,112.054534257205,296.551283892195
155.356653363427,125.760287339799,391.586854604357,101.202216121089,112.108386255925,296.994728932548
155.45508366996,125.901242361564,390.737172478871,100.764642480767,112.104932409706,297.802862268601
155.811879962774,126.022626098927,389.252053585373,100.42247974926,112.098166504304,298.106352435531
155.830813690322,126.308442642087,389.382608665662,100.196844038356,112.135362011507,298.815730737313
155.471183423336,126.231260803513,389.594886717646,100.098316532804,112.279772397218,299.337257353681
155.426161783297,125.877225356589,390.335258026235,99.9270276164596,112.441398821934,299.629138266807
155.340759704335,125.618172307833,389.575633450159,99.8556822525786,112.544845610214,300.208506304241
155.216586767796,125.505028061118,389.702404706169,99.8398548791471,112.731762960676,300.711553329337
155.05710252866,125.576381426018,389.76337061077,99.7981404720169,112.794825368394,301.131521865875
155.002760572821,125.439292591732,390.25041171369,99.9043760951107,112.910832873794,301.45265194598
154.848398595379,125.810819017962,391.378650663654,100.069178223022,113.018880172163,301.795385128235
154.81269848849,125.936225639903,391.651021512367,100.257717597241,113.217147996316,301.826617099205
154.79103096634,125.851315233562,391.63234205757,100.39057838956,113.271065144978,301.94481061583
154.8476921404,125.321289792592,391.178096402952,100.48777767563,113.314857153442,302.456358419115
154.798829180122,125.031440378782,391.809863031662,100.50108013172,113.225695236514,303.130338422981
154.611766658205,125.055966205065,392.20758908278,100.609852594961,113.088536150724,303.357713951774
154.775066630643,125.11400491536,392.270916259533,100.74922351996,113.098297109743,303.460205804923
153.9586238048,125.253667236272,392.787131949167,100.807403191677,113.21517129968,303.522331024042
153.738913049828,125.490481457903,393.238979540635,100.853618066342,113.137578363403,303.8882429386
153.942485416768,125.566153369693,393.797504260908,100.847727343416,113.079966428715,304.184822257411
154.280313053538,125.925037091476,395.565947557842,100.61829056565,112.981469909623,303.779585466488
154.084329077283,126.034088858769,395.630175995961,100.522303263002,112.871393195781,303.735721748188
154.169288265175,126.241089184651,396.450437828526,100.429305608258,112.838212032315,303.61519672301
154.095166947215,126.186340276839,396.194900932179,100.227977033302,112.86631827917,303.537095273952
154.47550076458,125.886012284431,396.725536868881,100.054379334102,112.7415239329,303.583222190302
154.278877378578,125.80054887,397.040599305756,99.8531168051609,112.679077082313,303.790135350382
154.16727714874,125.546570898077,397.53616186815,99.5977046048987,112.587960596896,303.925171483744
154.274859393848,125.708184858268,396.507948838256,99.5797087077856,112.517686967874,303.85620929776
154.604047117839,125.889474088715,396.254895409464,99.6427166924386,112.571209727951,303.646939215774
154.7034873201,126.075645303768,396.217957728038,99.6027137570413,112.505044367981,303.366507343084
154.719914857805,125.941141072314,396.571076743157,99.624538570477,112.571475805496,303.197116493591
154.528726434176,125.746947345769,396.086895508305,99.664630353405,112.515441729453,303.125398588096
154.249653200225,125.845686330733,396.654259429094,99.6904415712116,112.525156790063,302.980510761395
153.64788569882,126.089988444604,396.868519106149,99.7865421791781,112.550898469896,302.773817988252
153.458341210616,126.000455083285,396.358335037845,99.951417475193,112.500684941819,302.5486208752
153.620250754578,125.902414072265,396.052709865559,100.033545134725,112.654268220839,302.33753083979
153.470638626628,125.734181545716,397.407532551933,100.139428714228,112.659825434211,302.361041611182
153.055292559862,125.667600524313,398.818838801636,100.100767367945,112.737369588907,302.206381665637
152.663499340897,125.666619665174,399.093223800747,99.9087249148473,112.76022182797,302.33433672112
152.929064658193,125.280403088241,398.783032508786,99.88008712314,112.754577025258,302.113502734974
153.226687320942,124.874172211073,399.81341983263,99.8191224327583,112.862822959265,301.880698811843
153.619332442104,124.941414384406,400.886726638627,99.749337772272,112.972613942725,301.729656019237
153.651279752465,124.867422698961,399.551560899192,99.5629216493895,113.071964007105,301.752372959254
154.066481957493,125.030397529692,400.036346448444,99.3582656542804,113.181175456374,301.793493903228
153.896655521643,125.01079174877,399.622492085533,99.0043233083422,113.164288789347,301.727479263735
154.303699813073,124.755233092113,400.188113857562,98.725595073917,113.095629718915,301.600424061791
154.608010129225,124.694257781114,401.299294471356,98.5454319360094,113.170293985652,301.368491371212
154.688915112326,124.87777191961,400.590418836246,98.265013552853,113.239751464559,300.76823176431
154.856084397686,125.054560880243,400.253306278873,97.9489129950031,113.246107320926,300.620918592642
155.188294911071,124.997016267261,399.819030345441,97.6532934542598,113.215773889045,300.609536655682
155.43507027366,124.740428413038,400.158050468316,97.2744222423121,113.088632231049,300.343754335705
155.367748552925,124.576459406813,400.171978198949,97.0605760447718,112.881484012204,299.861332919734
154.95774425965,124.689504648094,399.730242451361,96.9008439894272,112.806819054116,299.161378511556
154.622555281711,124.935633762678,399.563536509603,96.7115938400286,112.782845068528,298.568452121554
153.7991684668,124.691521592694,401.044085463901,96.5961635356729,112.729959378208,298.310894749331
153.806045969601,124.545660743978,401.242201620121,96.5040670743315,112.712448917647,298.157713221579
154.063341176661,124.258557004112,400.592867383092,96.4922593150657,112.557651109497,297.78432305866
154.758411494546,124.25648716469,401.351840231384,96.4694825397969,112.35928411309,297.163073010408
154.950123963686,124.333057053842,399.47268135656,96.6551287040008,112.20726287082,296.576253932253
155.711066555903,124.761853891023,398.795067231396,96.7324687495204,112.210349884893,296.021661023042
155.782668178235,123.484102461707,399.01360066995,96.9476102179382,112.203558934918,295.710058187447
155.727586067996,123.514290065368,398.564553469875,97.0351377415565,112.213742750663,295.39320547405
155.74401284093,123.080779220438,398.515387161024,97.1306977974446,112.060175166919,294.772610451746
155.412473073017,123.037636558291,398.856617757112,97.2725490481629,111.957716697331,294.32355205449
155.119289227225,123.19123884703,398.799117022714,97.3903467147888,111.961757562595,293.538401909099
155.061250846949,123.338206328451,398.473288503418,97.6022201037448,112.116603270303,292.52862858209
154.920969824509,123.355561982154,398.677998293598,97.7879911906437,112.135127204121,291.844112246292
154.43394070708,123.21144409086,398.414800170115,97.8438710646007,112.202259545708,291.328233163006
154.07603655402,123.365730421772,398.151679097494,97.8374528419715,112.120170780998,290.490245831578
153.90402883641,123.561473660841,398.12868435538,97.820974637138,112.024596016655,289.766115204918
153.701938616099,123.570318565621,396.337856125173,97.9580782457999,112.065076886457,288.748952995394
153.759425002005,123.369696765168,395.699992644754,97.9113828832049,112.230790447662,287.748023534099
153.884364144341,122.864207061579,394.766739223424,97.9445860725274,112.261804766171,286.660204226458
154.374355106631,122.787030064759,394.043830224822,97.9454201052405,112.237182125547,285.86860676942
154.581293503987,122.716991238967,394.326945052058,97.9492715779958,112.2895496238,285.079332002595
154.785966285143,122.885361905831,393.815530078662,98.0211500815877,112.169255450025,284.35272848489
154.416291697622,122.917166310146,394.475240567992,98.2260180161955,112.268917873981,283.452301216834
154.86827324902,122.857482539397,395.328624576762,98.3428041836637,112.350553887221,282.774999881119
154.805865684609,122.48072810696,395.666243412092,98.5778279276461,112.44586223182,282.471060820483
154.745444480611,122.225687533212,395.589550964469,98.6528334604171,112.49998774686,282.394861847038
154.602011687352,122.545971935698,396.416937893213,98.7103419662501,112.444025231308,282.445189079479
154.538732520799,122.580498809576,397.542766689855,98.8993084227004,112.360008444232,282.433772550516
154.458955146996,122.278347696241,397.226659340323,99.1052587307013,112.386795684305,282.444069740259
154.687538270479,122.221925109614,397.218937829513,99.249967114233,112.571916636441,282.459654816547
154.672814123308,122.182401802459,397.81611894732,99.3591129835301,112.658861851161,282.88739977575
154.839844769508,121.982638450887,398.212641550993,99.457359855669,112.778484589985,283.606851170885
155.055615510649,121.770738016718,397.774420054074,99.4635018232723,112.901399294939,283.757082104725
154.985816946371,121.826721163704,397.852700715392,99.6298347969187,112.958348483468,284.277049864908
154.462510433979,122.273655129406,397.129163314916,99.8382326530632,113.105039753886,284.382857355063
154.618494807294,122.710371024264,397.264286438948,99.9687623707216,113.260459637446,284.521035519783
154.883690529406,122.961592957615,398.235596744015,100.124943352313,113.384334609581,284.588264880968
154.794439466635,122.671242982536,398.371486520244,100.142652256507,113.488907544633,284.748238549288
154.975057711939,122.573872378635,398.101737038063,100.133828606762,113.502195578597,284.466181501127
154.7725878371,122.393241575484,398.064653561322,100.216764251818,113.532208564674,284.263041987453
154.572578518128,122.416425066468,398.351277584972,100.337153631275,113.594794871211,283.985421035948
154.513687815599,122.309017239412,398.380113993262,100.365260219437,113.707842932738,283.595924533442
154.377385855447,122.23621157867,399.221868418683,100.382946118788,113.840013858535,283.486802558568
154.120892360675,122.114200296438,398.450617959035,100.297465495122,113.922934811519,283.5072473725
154.124260383283,121.738187737912,396.925789704782,100.292868639832,113.970266836445,283.961373698898
154.084192781086,121.787349217191,396.796284654865,100.259069785883,113.943475568781,284.645016169267
